"Gene.name"	"SRR6068402"	"SRR6068403"	"SRR6068404"	"SRR6068405"	"SRR6068406"	"SRR6068407"	"SRR6068408"	"SRR6068409"
"Cald1"	13.637964	16.56946613	23.55419514	12.3749480045197	15.382888	17.643365	86.042243	92.47457
"Calhm1"	0.0447635	0	0.0449559	0.189733	0	0.0486925	0	0.0490672
"Calhm2"	2.5027945	2.078097	0.875163	0.443231	2.07701	2.534843	3.899467	5.631254
"Calhm3"	0	0	0.0555435	0.140652	0	0	0	0
"Calhm4"	0.0966634	0.1397705	0.113962	0.3883208	0.041399	0.181417	0.18441	0.271908
"Calhm5"	0.494027	0.642363	0.353003	0.338216	0.503314	0.528547	1.41906	1.67277
"Calhm6"	0.0523551	0.391653	0	0.266299	0.208798	0.0569159	1.60866	2.35411
"Calm1"	50.470711	67.977169	61.149853	44.7503	73.210053	61.32863	449.79061	463.07592
"Calm2"	68.04109	91.602	76.38529	39.8069	105.56587	72.7546	650.3552	653.3768
"Calm3"	62.2342	71.2048	32.7616	12.2802	57.583	55.5501	136.381	165.381
"Calm4"	0	0	0.259252	0.10943	0	0	0	0
"Calm5"	0	0	0	0.288623	0	0	0	0
"Calml3"	0.116449	0.0415377	0.0389828	0.263236	0.0387322	0.0844872	0	0
"Calml4"	0.6288985	0.513092	0.716184	0.6681662573	0.4598215031	0.783414	1.536484	2.831561
"Caln1"	0.0482567	0.216507	0.2278649	0.4742766	0.0270061	0.135275	0.0555462	0.0938879
"Calr"	136.535	126.388	67.4711	29.1649	122.658	95.3861	258.944	353.66
"Calr3"	7.8896	9.24605	3.691715	2.375145	7.55825	7.82857	1.765459	2.841119
"Calr4"	0.0736811	0	0.1939072	0.2279441	0	0.101974	0.149163	0.102093
"Calu"	77.662582	98.47167	56.068337	39.0031	100.791878	86.650579	455.851734	488.850162
"Caly"	0	0.0640362	0.12044	0.2302981	0.119522	0	0	0.0657976
"Camk1"	26.0869	31.4178	14.9312	5.89661	26.8049	25.4581	35.987	51.8889
"Camk1d"	0.703129	0.968415	0.606163	0.869697	1.273639	1.212911	3.650923	4.333661
"Camk1g"	0.2065789	0.0875279	0.0415986	0.1951516	0.0817469	0.089089	0.119511	0
"Camk2a"	11.69188	13.37859	1.882729	1.9027	8.69669	12.25752	1.333945	1.74261069
"Camk2b"	1.63724790102655	1.4817098	0.7851908	0.2584496	1.2616265	1.0685763046	0.245455227686	0.576320800411995
"Camk2d"	26.831252076149	31.0082070003088	18.044765	6.878917	31.1069270309	32.184640530949	13.884579	17.0939440025669
"Camk2g"	8.740557	12.284887	10.24403	3.841769	11.727087	11.487943	7.616593	10.763296
"Camk2n1"	2.07213	1.92862	1.42558	0.349334	2.64312	2.16015	1.30417	1.20207
"Camk2n2"	0.302849	0.416492	0.4345	0.0733509	0.345271	0.376538	1.33164	1.94418
"Camk4"	0	0	0	0.192478	0.1317641	0.0417902	0.122541	0.16782
"Camkk1"	0	0.453475	0.2272609	0.280127	0.495351	0.6113677	2.268839	2.476818
"Camkk2"	3.438022	3.187643	6.329725	1.848921	3.495717	4.329514	9.708424	9.673498
"Camkmt"	0.27347	0.539541	0.204646	0.327696	0.583977	0.566353	1.19647	1.96327
"Camkv"	0	0.207677	0	0.225581	0.0157171	0.212007	0	0
"Caml"	5.48047	7.36461	4.92715	1.99839	5.03434	6.07625	11.4445	15.2891
"Camp"	0.326396	0	0.409726	0.138348	0.243618	0.354002	1.51376	0.179301
"Camsap1"	6.085784	4.87391700052189	5.035985	2.886124	5.334013131547	4.3499910453717	4.4372350927165	5.964591
"Camsap2"	6.2712	6.2418862662	9.12369	4.549792	6.467402	7.8173	10.99747	11.23696
"Camsap3"	0.100083	0.1199695	0.1534923	0.348099688935	2.34216e-09	0.1992955	0.0606985	0.134097
"Camta1"	54.00203	39.089339	25.9177056	9.0104787519	43.191425	41.59473	24.276748	26.7678774
"Camta2"	2.748734	2.73467708	0.503115	0.2057264	2.46944	1.8910610325706	1.600813	1.489954
"Cand1"	7.7708	8.47625	5.50824	2.472687	5.952485	8.12216	15.24591	19.32606
"Cand2"	12.0664	12.0245	2.64756	1.79514	8.0368	8.77832	2.0312	2.53952
"Cant1"	5.690442	4.845435	2.691095	0.8649792	5.613287	4.483958	8.358982	10.144752
"Canx"	76.47734	93.86277	51.66942	32.10214	97.96872	88.31094	150.05612	198.34616
"Cap1"	14.46684	18.43494	29.60174	10.6351	22.69564	13.953828	100.9864	131.2155
"Cap2"	50.6439	55.5767	14.52281	8.66594	40.2643	43.7099	8.64957	11.40513
"Capg"	11.977388	14.728671	21.847769	10.347368	14.112473	8.793633	164.9961	191.179024
"Capn1"	8.065819	7.075682	4.160382	2.245346	6.661086	7.766839	11.39679375	13.352257
"Capn10"	2.74762	2.55272	1.709748	0.73372	1.97724	2.33822	3.57615	4.8519
"Capn11"	0.0806475	0.172923	0.0404949	0.205081	0	0.835042	0.155832	0.308905
"Capn12"	0.0946207	0.163492	0.21751	0.141385	0.155437	0.354711	0.167737	0.12945
"Capn13"	0	0.0214135	0	0.237021	0	0	0	0.0218579
"Capn15"	0.85922	0.89342298	0.576554	0.3974378	0.573945	1.205433	0.822223	1.064998
"Capn2"	20.3123	20.5659	19.5358	5.56096	17.0085	15.2729	42.3475	47.7289
"Capn5"	0.425686	0.6642129	0.2849975	0.579789	0.850293	0.4380644	0.939411	0.983709
"Capn6"	0.0641741	0.170122	0.028957	0.0988147	0.396981	0.110048	2.67577	2.74767
"Capn7"	9.64137	13.8409	4.49718	3.1468	13.6963	11.8365	18.2327	18.7506
"Capn8"	0	0	0.0105937	0.148601	0	0	0	0
"Capn9"	0.0225829	0	0	0.172282	0	0	0	0.0247181
"Capns1"	79.35867	83.87097	37.476255	21.349354	51.897079	60.68823	79.85707	77.33685
"Capns2"	0.0578464	0.0617852	0.639064	0.490393	0.0576556	0.188574	0.760936	0.5077
"Caprin1"	38.67122	48.26146	22.60426	15.054087	43.024818	42.85609	97.9514	118.64485
"Caprin2"	0.8021809	1.257218	0.2913302	0.299543	0.9511880132582	1.2488657	1.988229	1.984272
"Caps2"	0	0.0246979	0	0.1178	0	0	0	0
"Capsl"	0.0842604	0	0.169236	0.357152	0	0	0.275708	0.185181
"Capza1"	18.86352	21.18967	29.66846	15.79588	22.97749	20.80974	189.2142	198.5575
"Capza2"	40.48243	49.204188	42.34014	23.82638	53.94584	43.30066	174.8405	205.5783
"Capza3"	0	0	0.0462639	0.0390508	0	0	0	0
"Capzb"	49.921661	48.057374	36.64297	12.543699	38.251916	45.03159	62.88049	74.802358
"Car1"	0	0	0	0.3257870561257	0	0	0	0.0525778
"Car10"	0.0599439	0.1816059	0.1630946	0.497476	0.0399207	0.2006712	0.384646	0.247487
"Car11"	1.30897	0.739511	0.317261	0.493114	0.935094	1.06793	0.470374	0.518234
"Car12"	0	0.0151198	0.0424626	0.182103	0	0.0307388	0.436259	0.366321
"Car13"	0.435284	0.466536	1.81756	1.47587	0.755095	0.674033	18.987	23.1204
"Car14"	76.7655	81.6488	26.3444	10.19681	54.0608	63.5104	3.66834	2.652082
"Car15"	0.618143	0	0.074119	0.21818	0.343247	0.369628	0.363209	0.250487
"Car2"	4.48183	4.40003	2.505999	1.06909	5.03959	4.55003	2.77943	2.603066
"Car3"	0.72926	0.488442	0	0.406015	0.291402	0.340285	0.035514	0.061315
"Car4"	6.08078	4.49889	9.69929	3.43368	4.48877	5.5266	2.60016	1.42694
"Car5a"	0.286178	0.271199	0.560635	0.799937	0.195408	0.451665	0.690355	1.23657
"Car5b"	0.265522	0.85319	0.7364	1.31746	0.552814	0.828874	2.11642	2.77735
"Car6"	0	0.071936	0	0.2135636	0.037576	0	0.997986	0.577586
"Car7"	0.4638079	0.814317	0.304496	0.362624	1.197128	0.723337	0.469366	0.622743
"Car8"	2.9744	4.67035	2.61685	1.75318	6.44812	5.03687	7.32484	6.26855
"Car9"	0.136238	0.140879	0.968947	0.289259	0.188473	0.30104	1.35872	1.32761
"Card10"	1.245704	0.937411	0.826342	0.461504	0.91891	1.635004	0.945602	0.722293
"Card11"	0.0174803	0.0266616	0.0413156	0.205419	0.0349657	0.0542019	0.647563	0.7203
"Card14"	0.118244	0.164996	0	0.101735	0.144425	0.0515006	0.0255091	0
"Card19"	34.623	32.828	20.6727	8.98276	30.5723	28.3824	46.5736	52.4205
"Card6"	0.897753	1.234682	0.940423	0.767006	0.993514	1.521532	1.738824	2.176398
"Card9"	0.935253	0.719783	2.181362	0.690144	1.397816	1.23847	6.49164	7.47109
"Carf"	2.567275	2.720377	1.45255	0.727308	3.863816	2.509079	3.27985900283377	5.396159
"Carhsp1"	10.8107	10.6319	13.5935	5.05149	11.6537	10.1804	31.4686	34.6989
"Carm1"	6.636932	5.641528	3.839326	1.260086755725	4.537435	4.635143	4.396219	5.4667820120071
"Carmil1"	0.7021101	1.199965	0.69258109	0.783936	1.615869	1.30758	3.840828	3.91408
"Carmil2"	0.0243142	0.0632243	0.0792012	0.261715	0	0.0198992	0.0978562	0.0939205
"Carmil3"	0.0253526	0.0896273	0.0129521	0	0.155054	0	0	0.032717
"Carnmt1"	5.66669	8.12863	2.16485	1.73425	8.43591	8.30459	5.71577	6.61948
"Carns1"	2.9986200216428	4.746414	3.236306	1.209094	4.191234	5.27872	1.035858	0.871984
"Cars"	6.448495	5.268294	5.55639	2.046074	4.08833	5.254575	9.490589	11.31497
"Cars2"	14.4823	16.70646	3.96486	0.85563	12.5769	14.88427	4.00224	7.00743
"Cartpt"	0	0	0.1190919	0.350282	0	0.0493654	0	0
"Casc1"	0.215767	0.204144	0.1758096	0.1915723	0.382519	0.39726	0.0913885	0
"Casc3"	2.481803	2.29804	2.043426	0.809268	2.422113	2.985744	2.949412	3.64379
"Casc4"	1.94314	3.7348500134851	3.31463	1.03727	4.99478142683	3.253503	9.1508800199471	10.27647
"Casd1"	9.044581	10.029383	4.284123	3.270948	10.97808	12.06825	18.269125	21.9224
"Cask"	3.257193	3.42522800255277	3.5847669463	2.184619	3.843182962161	4.99726	12.01305	13.826515226138
"Caskin1"	0.0644989	0.0577529	0.118716	0.102714	0.0448207	0.0711987	0.0694611	0.186329
"Caskin2"	8.7101	8.94987	5.077813	2.819519	6.342671	9.86488	6.331883	4.696562
"Casp1"	0.9961865	2.26027	1.751442	0.759413	3.30173	0.92184	23.94692	24.16763
"Casp12"	2.32689	2.247548	1.187604	1.760972	6.2971	2.955428	27.0333	24.0823
"Casp14"	0	0.0514825	0	0.229076	0	0.0261713	0.0265015	0.0262931
"Casp2"	2.1015	2.13212	1.27081	0.85615	2.2856	1.8258	5.39958	7.58113
"Casp3"	1.276924	1.02163343	2.13018	1.455778	2.26425	1.411485	39.48427	44.2233
"Casp4"	1.60042	2.064472	5.39279	3.4171	5.19479	2.04024	29.8428	26.70891
"Casp6"	1.8169	1.86947	1.92952	0.596555	2.58353	1.50672	7.80529	9.24392
"Casp7"	2.2174	2.27267	1.04248	0	3.18378	2.91554	8.88359	10.3114
"Casp8"	2.660751	3.8931451	9.92521	4.769048	5.301941	5.679302	45.83734	50.37878
"Casp8ap2"	1.194727	2.171782	2.153188	1.742458	2.85285	2.729949	12.35294	14.821851
"Casp9"	1.901735	2.6301218	1.10285	0.687976	1.93773	2.297729	2.8537295	4.114131
"Casq1"	2.26398	2.30146	1.638705	1.677727	1.02527	2.15039	0.57138	0.973701
"Casq2"	331.618	343.321051	110.708786	63.897385	297.803003	313.56492	65.328589	69.985172
"Casr"	0.0236751	0.0240639	0.0237751	0.1717344	0	0.0611269	0.015492	0
"Cass4"	0.314534	0.4596752	4.214191	1.371403	1.0331025	0.7591592	2.886	1.644034
"Cast"	44.86747	51.48023	60.382210149707	29.312565	46.02624	52.303677	41.15845	45.695468
"Castor1"	2.11224	1.89056	1.28667	0.528347	1.79714	2.22411	2.97391	4.39997
"Castor2"	2.16274	1.72511	0.51323	0.575785	1.86156	1.85612	1.73175	2.03016
"Casz1"	5.422691	3.7517467	3.317719	1.4538733	3.677612	4.229952	0.8252209	1.4554009
"Cat"	64.9694	68.99716	32.46415	16.37579	61.52812	65.0057	20.3164	32.04612
"Catip"	0.086137	0.18934	0.12717	0.362116	0.258006	0.412515	0.771404	0.894698
