"Gene.name"	"SRR6068402"	"SRR6068403"	"SRR6068404"	"SRR6068405"	"SRR6068406"	"SRR6068407"	"SRR6068408"	"SRR6068409"
"LT629150.1"	0	0	0	0	0	0	0	0
"LT629150.2"	0	0	0	0	0	0	0	0
"LT629150.3"	0	0	0	0.5	0	0	1.033492	0
"LT629151.1"	0	0	0	0	0	0	0	0
"LT629151.10"	0	0	0	0	0	0	0	1.507308
"LT629151.2"	0	0	0	0	0	0	0	0
"LT629151.3"	0	0	0	0	0	0	0	0
"LT629151.4"	0	2.88366	0	0	2.984	0	0	0
"LT629151.7"	0	0	0	0	2.73924	0	0.81788	0
"LT629151.8"	0	0	0	0	0	0	0	0
"LT629151.9"	1.363404	1.253598	0	0	6.2425	0	0	24.2578
"LT629152.2"	0	0	0	0	1.315668	0	0	1.686656
"LT629152.3"	0	0	0	0	0	0	0	0
"LT629152.5"	0	0	0	0	0	7.59634	0	0
"LT629153.1"	0	0	0	2	0	0	0	0
"LT629153.2"	0	0	0	0	0	0	0	0
"LT629153.3"	0	0	0	0	0	0	0	0
"LT629153.5"	0	0	0	0	0	0	0	0
"LT629154.1"	0	0	0	0	0	0	0	0
"LT629154.2"	0	0	0	0	0	0	0	1.507308
"LT629154.3"	6.91636	0	4.0693	1.86442	0	0	0	0
"LT629154.6"	0	0	0	0	0	0	0	0
"Lta"	0	3	0	8	0	0	0	2
"Lta4h"	373.684	368.674	187.073	95.7474	412.156	366.169	903.983	1169.05
"Ltb"	12.99998	8	20.73541	6.0654	15.33277	1.07985	67	46.9999914
"Ltb4r1"	8	9	120	28	7	8	104	87
"Ltb4r2"	0	2.02519	0	0	0	0.358448	2.52958	4.35689
"Ltbp1"	940.1001	1004.4931027	353.98403	239.09236	1064.8994944199	783.2762	579.1558	838.8014
"Ltbp2"	60.4977	46.03692	92.0939	55.69418	38.80069802646	64.442537	1581.30584064947	1689.72700039372
"Ltbp3"	127.6321	142.1044	27.0535	1.4381	186.9532	63.4033	187.39313	198.73644
"Ltbp4"	1499.88241001379	1237.0019018	555.5242	148.78	1520.566	1005.4029	656.057	610.0726
"Ltbr"	410.753	363.188	493.137	133	361.863	298.909	736.634	936.322
"Ltc4s"	25.2963	48.69493	22.18018	3.03216	43.223	9.610295	49.98768	26.9037
"Ltf"	6.95317	3	25.111	30.07099	11.18744	7	20.3478500141501	25.4645
"Ltk"	0	0	0	6.1178811	0	4	0	0
"Ltn1"	665.9996	708.0003	502.9997	462.0004	720.0005	711.9999	1328.003	1517.002
"LTO1"	136.579467	167.00388	61.60025	66.81813	134.6628	137.3646	116.32399	167.4919
"Ltv1"	187.138	223.461	209.221	163.117	229.714	211.281	456.609	560.991
"Luc7l"	160.74377	183.3676	258.40004	117.21668	179.364	289.3885	582.3242	499.4815
"Luc7l2"	458.5069	585.6704	721.0195	280.6553	680.51	890.8794	943.1954	1048.8395
"Luc7l3"	580.3761	746.5212	594.1335	543.51762	926.0342	1249.401	2074.7925	2418.03777
"Lum"	1158	1576	452	396.982	2656	1106	7700	6746
"Lurap1"	91.4965	83.0999	39.4609	48.3483	59.5821	83.2393	56.1725	65.3186
"Lurap1l"	23	28	8	15	53	38	147	122
"Luzp1"	1003.742	1012.4589395724	1139.832274891	654.109000447455	1019.92241	1147.36782247655	1666.7476	1809.39951
"Luzp2"	7	6.08118	1.58889	19.1598	6	3.05231	0	0
"Luzp4"	0	0	0	5.51922	0	0	0	0
"Lvrn"	114	149.99993	47	35.99997	159.9998	142.0003	25.99996	15
"Lxn"	36	19.9656	42.9913	19.4212	52	38.2448	364.505	390.467
"Ly6a"	1564.9928	1547.9915	1128.9595	719.97574	2067.9988	1303.9919	3821.3477	3639.0233
"Ly6c1"	1747.2503	1569.1033	1235.00303	678.6983	1878.407	1392.68177	1843.8789	1692.1501
"Ly6c2"	6.61302	6.89963	99.1197	41.76619	22.6805	5.06602	255.61727	389.231
"Ly6d"	4	4	2	1	7	3	23	29
"Ly6e"	1865.38398010767	1728.059135482	906.96059	495.66472	2047.365122866	1254.80835	2554.6703848758	3605.36375
"Ly6f"	0	0	0	5	0	0	0	0
"Ly6g"	12	13	29	8	8	6.000001	10.34684	4
"Ly6g2"	0	3	2	14	1	0	3	2
"Ly6g5b"	1	2	2	10	1	3	2	6
"Ly6g5c"	0	0	0	4	0	0	1	2
"Ly6g6c"	0	0	2.00017	18.7744	0	8.96669	2.00011	8.08312
"Ly6g6d"	0	0	0	2	0	5	0	0
"Ly6g6e"	1	0	1.01524	4.23433	0	2.02257	1	4.295155
"Ly6g6f"	0	1	2	5	2	1	2	0
"Ly6g6g"	0	1	1	4	0	0	0	2
"Ly6h"	20.6703	31.9051	35.8455	103.91903	11.5849	63.5372	38.2301	37.3823
"Ly6i"	5.00709	6.00849	4	12.0241	1.00077	2.00726	30.6532	23.01862
"Ly6k"	2	2	4.000004	1	3	0	18.00001	19.99997
"Ly6l"	0	0	0	4	0	0	0	0
"Ly6m"	0	1.45639	0	1.54719	0	0	0	0
"Ly75"	45	34.99998	37.00005	53	29.99999	43	75.99996	82
"Ly86"	55.7286	118.994	40.2705	62.0383	203.359	108.792	1520.73	1970.59
"Ly9"	15.98416	24	10.9227	33.47023	51	18.99998	462.289	862.681
"Ly96"	12	18.2204	17.6338	19.9454	24.999	24.9691	95.0511	119.931
"Lyar"	149.76397	221.46522	210.614049	89.8504	265.71909	233.730532	454.75332	443.4177
"Lyg1"	0	0	0	1.27522	0	0	0	0
"Lyg2"	1	0	2	14	0	1	0	0
"Lyl1"	60	47.21916	32	17.99997	77.00002	54.99997	177.00007	169.92103
"Lyn"	443.975	471.604	874.885	523.291	671.397	494.941	2892.052	3741.015
"Lynx1"	4626.6466	4274.5169	688.97976	263.99975	3381.6119	3671.714	362.704	481.87801
"Lypd1"	7.2252	13.9393	26.51518	50.83802	8.73958	9.0732943822	37.7165	29.5263
"Lypd10"	0	0	0	2	0	1	0	0
"Lypd11"	0	0	0	15.06862	1	0	0	0
"Lypd2"	7	8	5	5.73452	7	6	0	1
"Lypd3"	0	0	3	5	0	1	0	0
"Lypd4"	0	0	0	8	0	1	0	0
"Lypd5"	3.01286	3.01344	12.2149	19.8672	2.00263	15.1843	6.24923	10.3623
"Lypd6"	4.999996	4.999999	1	17.99996	2.999996	2.000001	8	13.99995
"Lypd6b"	5	3	3	14	2	6	3	3.7067
"Lypd8"	0	2	1	4	0	0	0	0
"Lypd9"	0	0	0	4	0	0	0	0
"Lypla1"	994.6019	1057.67811	569.23924	275.55881	1231.7964	1035.9341	1675.912	1875.18185
"Lypla2"	211.98363	219.33763	148.6581	56.3712	159.148	177.3805	240.441	334.9716
"Lyplal1"	7.56842	9.67271	1	10	34	10.0158	46.2208	67.5258
"Lyrm1"	145.0995	114.49503	131.963976	297.665416	117.70422	208.5582	201.6627	204.72293
"Lyrm2"	94.9803	167.343	61.2825	45.6807	162.612	150.321	260.035	302.026
"Lyrm4"	182	170	92.4034	84	204	160	231.233	239
"Lyrm7"	162.1	179.953	22.7378	38.3386	188.866	170.475	42.913	75.0504
"Lyrm9"	464.4548	494.6512	153.55966	106.286299	532.7257	584.5839	145.9854	155.8989
"Lysmd1"	103	104.542	69.1081	41.7241	99.2321	103.192	96.8979	118.492
"Lysmd2"	97.4852	80.196	44.0054	35.1116	125.158	86.6939	136.704	145.191
"Lysmd3"	398.00028	501.00035	447.00047	379.00048	633.99985	387.0004	1447.00090029522	1501.0006
"Lysmd4"	220.6621	216.4521	91.4268	56.360260104742	178.14299	193.09383015479	140.25267913	138.88784
"Lyst"	497.419	411.703	1139.1	975.551	560.256	639.042	2460.45	2457.71
"Lyve1"	625.569	703.923	505	233.737	756.871	500.201	205.671	142.776
"Lyz1"	35.2416	36.2293	17.0655	6.03756	29.1658	14.0819	152.032	92.4789
"Lyz2"	4090.76	5258.77	1620.93	1677.96	8815.83	4308.92	74242	90377.5
"Lyzl1"	0	0	0	6	0	0	0	0
"Lyzl4"	3	1	1	7	3	3	1	7.0000030444
"Lyzl6"	0	0	0	0	1	1	0	0
"Lzic"	428.62968	537.46101	209.0585470689	110.44944	500.08394	460.76282	410.0848	514.12992
"Lztfl1"	315.0084	387.0107	205.1364	221.68496	488.43268	509.5047	849.7743	836.963
"Lztr1"	374.21219	302.00237	131.89189	67.87227	321.12864	285.82549	431.46388	534.1076
"Lzts1"	59.9061	79.79675	21.5105	20.1389	81.81803	74.97736	35.09178	39.1704
"Lzts2"	944.5337	836.54163	364.91304	104.753	643.02389	865.13118	491.72516	619.725900821771
"Lzts3"	84.1715	96.8467	66.23827821	30.210600306189	95.9067	103.828	94.38520418625	104.86586
"M1ap"	1	4	5	5.23794	5	2	38.14863	38.99995
"M6pr"	853.795	1015.42	713.3208	416.1205	1113.5623	808.4772	3823.0257	4940.0984
"Maats1"	8.18725	20.7801	30.8861	67.03	5.95571	47.2397	37.0335	21.4016
