Transcript stable ID version	Gene stable ID	Gene name
ENSMUST00000143322.8	ENSMUSG00000035064	Eef2k
ENSMUST00000106488.2	ENSMUSG00000035064	Eef2k
ENSMUST00000146482.2	ENSMUSG00000035064	Eef2k
ENSMUST00000106487.8	ENSMUSG00000035064	Eef2k
ENSMUST00000167713.1	ENSMUSG00000090897	Gm44501
ENSMUST00000042702.6	ENSMUSG00000039065	Atpsckmt
ENSMUST00000161061.2	ENSMUSG00000039065	Atpsckmt
ENSMUST00000106766.8	ENSMUSG00000078606	Gm4070
ENSMUST00000176467.7	ENSMUSG00000078606	Gm4070
ENSMUST00000176994.1	ENSMUSG00000078606	Gm4070
ENSMUST00000111825.9	ENSMUSG00000063975	Slco1a5
ENSMUST00000081380.9	ENSMUSG00000063975	Slco1a5
ENSMUST00000128446.1	ENSMUSG00000063975	Slco1a5
ENSMUST00000233672.1	ENSMUSG00000117190	Esp5
ENSMUST00000074876.12	ENSMUSG00000058402	Zfp420
ENSMUST00000057652.6	ENSMUSG00000058402	Zfp420
ENSMUST00000098266.8	ENSMUSG00000018909	Arrb1
ENSMUST00000032995.14	ENSMUSG00000018909	Arrb1
ENSMUST00000162404.7	ENSMUSG00000018909	Arrb1
ENSMUST00000161525.1	ENSMUSG00000018909	Arrb1
ENSMUST00000162290.1	ENSMUSG00000018909	Arrb1
ENSMUST00000179755.7	ENSMUSG00000018909	Arrb1
ENSMUST00000232937.1	ENSMUSG00000092043	Esp6
ENSMUST00000097324.3	ENSMUSG00000092043	Esp6
ENSMUST00000201129.3	ENSMUSG00000096139	Gm7978
ENSMUST00000178552.1	ENSMUSG00000096139	Gm7978
ENSMUST00000135091.1	ENSMUSG00000051319	Mtln
ENSMUST00000190279.6	ENSMUSG00000035048	Anapc13
ENSMUST00000188398.6	ENSMUSG00000035048	Anapc13
ENSMUST00000038673.13	ENSMUSG00000035048	Anapc13
ENSMUST00000186693.1	ENSMUSG00000035048	Anapc13
ENSMUST00000134663.1	ENSMUSG00000024388	Myo7b
ENSMUST00000055314.3	ENSMUSG00000043282	Teddm1b
ENSMUST00000022580.7	ENSMUSG00000022003	Slc25a30
ENSMUST00000227894.1	ENSMUSG00000022003	Slc25a30
ENSMUST00000063169.9	ENSMUSG00000048281	Dleu7
ENSMUST00000050660.5	ENSMUSG00000047053	Teddm1a
ENSMUST00000178498.1	ENSMUSG00000095540	Esp4
ENSMUST00000154086.7	ENSMUSG00000072814	Gm7982
ENSMUST00000136313.1	ENSMUSG00000072814	Gm7982
ENSMUST00000101011.3	ENSMUSG00000072814	Gm7982
ENSMUST00000031931.5	ENSMUSG00000029882	2210010C04Rik
ENSMUST00000059607.7	ENSMUSG00000045968	Teddm2
ENSMUST00000123490.1	ENSMUSG00000045968	Teddm2
ENSMUST00000238035.1	ENSMUSG00000024518	Rax
ENSMUST00000025396.4	ENSMUSG00000024518	Rax
ENSMUST00000237506.1	ENSMUSG00000024518	Rax
ENSMUST00000230044.1	ENSMUSG00000059895	Ptp4a3
ENSMUST00000230177.1	ENSMUSG00000059895	Ptp4a3
ENSMUST00000163582.8	ENSMUSG00000059895	Ptp4a3
ENSMUST00000230307.1	ENSMUSG00000059895	Ptp4a3
ENSMUST00000231209.1	ENSMUSG00000059895	Ptp4a3
